"YEAR";"P_KIA_NEW";"P_MOSHI_NEW";"P_KIA_OLD";"P_MOSHI_OLD";"P_MEAN_NEW";"P_MEAN_OLD"
"2001-06-01";"10.5";"14.8";"10.5";"14.8";"12.65";"12.65"
"2001-07-01";0;1;0;1;"0.5";"0.5"
"2001-08-01";"2.7";"0.3";"2.7";"0.3";"1.5";"1.5"
"2001-09-01";"0.2";7;"0.2";7;"3.6";"3.6"
"2001-10-01";0;"11.5";0;"11.5";"5.75";"5.75"
"2001-11-01";"21.7";63;"21.7";63;"42.35";"42.35"
"2001-12-01";"1.8";"3.9";"1.8";"3.9";"2.85";"2.85"
"2002-01-01";"89.4";"69.5";"89.4";"69.5";"79.45";"79.45"
"2002-02-01";"66.3";"21.7";"66.3";"21.7";44;44
"2002-03-01";"101.6";"177.8";"101.6";"177.8";"139.7";"139.7"
"2002-04-01";"162.4";490;"162.4";490;"326.2";"326.2"
"2002-05-01";"27.1";"71.8";"27.1";"71.8";"49.45";"49.45"
"2002-06-01";"2.5";"1.6";"2.5";"1.6";"2.05";"2.05"
"2002-07-01";"0.7";"3.7";"0.7";"3.7";"2.2";"2.2"
"2002-08-01";"25.6";"39.8";"25.6";"39.8";"32.7";"32.7"
"2002-09-01";"19.2";"116.2";"19.2";"116.2";"67.7";"67.7"
"2002-10-01";"110.3";"72.3";"110.3";"72.3";"91.3";"91.3"
"2002-11-01";49;"27.1";49;"27.1";"38.05";"38.05"
"2002-12-01";"134.2";129;"134.2";129;"131.6";"131.6"
"2003-01-01";"9.7";"3.7";"9.7";"3.7";"6.7";"6.7"
"2003-02-01";"14.6";"10.1";"14.6";"10.1";"12.35";"12.35"
"2003-03-01";"18.4";62;"18.4";62;"40.2";"40.2"
"2003-04-01";"40.8";"159.4";"40.8";"159.4";"100.1";"100.1"
"2003-05-01";"188.9";"191.4";"188.9";"191.4";"190.15";"190.15"
"2003-06-01";"12.2";"53.8";"12.2";"53.8";33;33
"2003-07-01";"3.8";"9.7";"3.8";"9.7";"6.75";"6.75"
"2003-08-01";0;"2.8";0;"2.8";"1.4";"1.4"
"2003-09-01";5;"0.4";5;"0.4";"2.7";"2.7"
"2003-10-01";"7.3";0;"7.3";0;"3.65";"3.65"
