"Datetime","Timezone","Aggregationtime","PlotId","EpPlotId","StationId","Processlevel","Qualityflag","TEMP","MAX","MIN"
1973-07-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.0571428571429,25.5714285714286,9.14285714285714
1973-07-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.5,28,8
1973-07-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19,26,8
1973-07-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,28,9
1973-07-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.12,25.6,9
1973-07-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.8,25,10
1973-07-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.9,24.8333333333333,9.5
1973-07-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.78,24.2,9.8
1973-07-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.04,24,10.8
1973-07-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,14,21,10
1973-07-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.8,21,12
1973-07-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.275,22.75,10.25
1973-07-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.275,22.75,10.25
1973-07-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.3,25,13
1973-07-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.275,22.75,10.25
1973-07-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.1,23,11
1973-07-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16,24,6
1973-07-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.16,22.8,11.2
1973-07-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.16,22.8,11.2
1973-07-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.375,22.25,10.75
1973-07-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,22,13
1973-07-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.6,22,12
1973-07-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.6,21,12
1973-07-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.0666666666667,21.3333333333333,11.5
1973-07-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.0666666666667,21.3333333333333,11.5
1973-07-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.2,21,6
1973-07-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.82,21.2,11.2
1973-07-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,14.5,21,13
1973-07-31 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.2,21,13
1973-08-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.63,22.44,11.59
1973-08-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.65,22.46,11.58
1973-08-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.18,20.75,11.58
1973-08-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.44,22.66,11.52
1973-08-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.42,22.87,11.51
1973-08-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.37,22.17,11.53
1973-08-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.47,22.53,11.59
1973-08-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.2,25,7
1973-08-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.5666666666667,22.6666666666667,11
1973-08-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.575,22.25,11.75
1973-08-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.3,21,15
1973-08-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.3,22,12
1973-08-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.3,22,12
1973-08-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.2,22,11
1973-08-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.6,21,14
1973-08-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,15.2,21,13
1973-08-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,23.3333333333333,11.3333333333333
1973-08-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8285714285714,23.4285714285714,11.5714285714286
1973-08-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,27,7
1973-08-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.8,24,11
1973-08-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8875,23.25,11
1973-08-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.2,25,12
1973-08-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,24,13
1973-08-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,21,9
1973-08-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,22,13
1973-08-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,22,10
1973-08-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.9285714285714,24.2857142857143,10
1973-08-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8833333333333,24.1666666666667,9.66666666666667
1973-08-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.2,27,6
1973-08-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,14,29,7
1973-08-31 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.75,24.75,8.75
1973-09-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.7333333333333,25.6666666666667,8.33333333333333
1973-09-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.7333333333333,25.6666666666667,8.33333333333333
1973-09-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.4,26,10
1973-09-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,21,12
1973-09-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.675,24.75,13.5
1973-09-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.675,24.75,13.5
1973-09-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.4,25,12.6
1973-09-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.4,27,15
1973-09-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.3,26,15
1973-09-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20,25,12
1973-09-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19,26.4,12.8
1973-09-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.3,26,9
1973-09-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20,28,13
1973-09-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.64,26.4,11.6
1973-09-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.02,26.4,11
1973-09-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.38,27,11
1973-09-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.38,27,11
1973-09-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.65,27.25,11.5
1973-09-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.6,27,9
1973-09-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.2,26,12
1973-09-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,16.8,28,12
1973-09-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.88,26,12.2
1973-09-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.88,26,12.2
1973-09-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.8,25,13
1973-09-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17,24,15
1973-09-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.78,25.2,13.2
1973-09-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.42,24.6,13
1973-09-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.75,24.8333333333333,12.8333333333333
1973-09-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.75,24.8333333333333,12.8333333333333
1973-09-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.5,25,13
1973-10-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,17.8,24,13
1973-10-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20,25,11
1973-10-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.4,26,12
1973-10-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.1666666666667,25.6666666666667,12.5
1973-10-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.5,27,13
1973-10-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.95,26,12.3333333333333
1973-10-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.18,26.4,12.2
1973-10-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.975,26.75,12.5
1973-10-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.8,27,13
1973-10-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,18.2,27,12
